Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
AC1,BOSCH_LGA-12,1,BMA400,
"C1, C13, C2, C22, C23, C27, C28, C29, C30, C31, C32, C33, C39, C4, C5, C6, C7, C8",0402,18,0.1uF,
"C10, C11, C12, C14, C16, C19, C20, C21",0603,8,10uF,
"C15, C3",0603,2,4.7uF,
"C17, C18",0805,2,47uF,
"C24, C34, C35, C36, C40",0402,5,4.7uF,
"C37, C38",0201,2,15pF,
C9,0603,1,47nF,
D1,0402,1,USER_LED,
"D2, D3",0402,2,LED,
IC1,SOIC127P600X175-8N,1,M95512-RMN6TP,
IC2,TFBS4711TT1,1,TFBS4711-TT1,
IC3,BQ25628ERYKR,1,BQ25628ERYKR,
IC4,SON50P250X250X80-11N-D,1,RT6150B-33GQW,
IC5,SOIC127P790X216-8N,1,W25Q128JVSIM_TR,
J1,GCT_USB4215_03_A,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SWD,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,BAT,
J4,AXE534127,1,DO0180FMST08,
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,DBG_UART,
J6,0805,1,SPEAKER_CONNECTOR,
JP1,BridgedJumper_P2.54mm,1,EEPROM_PWR,
JP2,BridgedJumper_P2.54mm,1,IRDA_PWR,
JP3,BridgedJumper_P2.54mm,1,ACCEL_PWR,
JP4,BridgedJumper_P2.54mm,1,IO_PWR,
JP5,BridgedJumper_P2.54mm,1,PANEL_PWR,
JP6,BridgedJumper_P2.54mm,1,MCU_PWR,
JP7,BridgedJumper_P2.54mm,1,FLASH_PWR,
L1,0603,1,1uH,
L2,0805,1,L,
L3,0805,1,3.3uF,
"R1, R2",0402,2,5.1k,
"R10, R11, R12, R16, R17, R30, R34, R35",0402,8,1k,
R13,0402,1,5.3k,
R14,0603,1,30k,
R15,0402,1,5k,
"R18, R19, R23",0603,3,100k,
"R20, R21",0603,2,0R,
R22,0402,1,0R,
R29,0402,1,R,
"R3, R4, R7, R8, R9, TH1",0402,6,10k,
"R31, R32",0402,2,22R,
R33,0402,1,33R,
R5,0402,1,47R,
R6,0402,1,56R,
SW1,SW_SPST_Omron_B3FS-101xP,1,BUT_R,
SW2,SW_SPST_Omron_B3FS-101xP,1,BUT_M,
SW3,SW_SPST_Omron_B3FS-101xP,1,BUT_L,
SW4,WS_TASV_435151014824,1,RUN,
SW5,WS_TASV_435151014824,1,BOOTSEL,
TP1,TestPoint_Pad_2.5x2.5mm,1,~{QON},
TP2,TestPoint_Pad_2.5x2.5mm,1,MCU_1V1,
TP3,TestPoint_Pad_2.5x2.5mm,1,GP19,
TP4,TestPoint_Pad_1.0x1.0mm,1,TP_SDA,
TP5,TestPoint_Pad_1.0x1.0mm,1,TP_SCL,
TP6,TestPoint_Pad_1.0x1.0mm,1,TP_INT,
TP7,TestPoint_Pad_1.0x1.0mm,1,TP_RESET,
TP8,TestPoint_Pad_1.0x1.0mm,1,TP_VCC,
TP9,TestPoint_Pad_2.5x2.5mm,1,GP18,
U1,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,
Y1,ABM8272T3,1,ABM8-272-T3,
Y2,SIT1533AIH4DCC32768E,1,SIT1533AI-H4-DCC-32.768E,
